lugar,lat,lon,tipo,frecuencia,frecuencia_no_editorial,contextos,personas_asociadas
Madrid,40.416782,-3.703507,ciudad,166,64,"Precios de suscricion 12 rs. en Madrid llevado á casa de los Sres. Suscritores,  | En la Redaccion de este periódico calle de la Madera, núm. 11, cuarto 2.º, y en  | En la Redaccion de este periódico calle de la Madera, núm. 11, cuarto 2.º, y en  | En la Redaccion de este periódico calle de la Madera, núm. 11, cuarto 2.º, y en  | La redaccion está establecida, calle de la Madera, número 11, cuarto segundo.—Se","Aguirre; Alejandro Boucher; Alexis; Boucher; Carlos IV; Carnicer; Cavaceppi; Cárlos Alberto; D. Baltasar Saldoni; D. Carlos IV; D. José Larrú; D. José Miró; D. Juan Colbran; D. Ramon Carnicer; Dupont; Duprez; Espin; Francisco Pareja; Garcia; Garcia Viardot; García; Gimeno; Gonzalez; Guglietti; Guglietti,; Isabel Colbran; JOAQCIN ESPIN; JOAQUIN ESPIN; Jardin; Juan Bautista Ru; Lablache; M. S. F; Marco Bordogni; Marcos Bordogni; Martin; Meric Lalande; Mirall; Montes; Montresor; Mr. Aulagnier; Oller; Oreyro Lema de Vega; Palazzesi; Paulina; Paulina Garcia; Paulina Garcia Viardot; Paulina Garcia-Viardot; Perelli; Ponchard; Reguer; Rossini; Rubini; S. Gerónimo; Saldoni; Señora Perelli; Tamburini; Torremocha; Unanue; Villar; Villó; d ' Alberti; de Varela"
París,48.8588897,2.320041,ciudad,101,97,"El ha dejado un número considerable de música vocal, entre las que se cuentan ve | El Sr. Larrú, Constructor de pianos de esta capital, jóven de grandes esperanzas | *.* Llamamos la atencion de nuestros lectores, sobre el programa de los exámenes | Aqui se ha representado Zanetta de Auber que lo mismo aqui que en Paris ha dado  | Sobre este mismo stabat mater, se agitan en Paris las prensas, y hasta se ocupan",Antonio Poggi; Arriaga; Audran; Baillot; Balfe; Baritono; Beethoven; Beriot; Bordogni; Brambilla; Breinting; Breitkopf; Carmona; Celli; Cherubini; Corticelli; D ' Alberti; D. José Miró; Devezi; Don José Valero; Donizetti; Dormoy; Elsser; Enrique; Eugen; Garcia; Garcia - Viardot; Garcia Viardot; García; Giuillaume Tell; Goggi; Gomis; Gravina; Grisi; Henri Bertini; Hinterberger; Hœrtel; Isabel; Ivaroff; Joaquin Espin; Juan Crisóstomo de Arriaga; Lablache; Lalande; Larrú; Liszt; Lodre; Luisa Fohnson; M. Martinez; M. lle; M. me Catalani; Malibran; Manuel Garcia; Manuel García; Maria Malibran; Mariano Soriano Fuertes; Marietta Brambilla; Martin; María García; María Malibran; María viva; Meyerbeer; Milan; Moisé; Moscheles; Mr. Baillot; Mr. Erad; Mr. Fetis; Mr. Mabile; Mr. Maggioni; Mr. Pape; Mr. Turcas; Murat; Napole; Nozzari; Oreiro Lema de Vega; Paulina; Paulina Garcia; Paulina Garcia - Viardot; Paulina García - de - Viardot; Paulina García de Viardot; Penco; Perelli; Persiani; Petit; Poggi; Reicha; Rimbault; Ronconi; Rossini; Rubini; SZCZEPANOWSKI; Salas; Salvador Cherubini; Schumman; Semiramide; Señoras; Señorita Dabedeilhe; Sopani; Sres. Ojeda; Tachinardi; Tamburini; Th. Gautier; Turin; Viardot; Vitoriano Daroca; Walker; conde de Tillí; don Tiburcio Martinez; duque; duque de Orleans; il Barbieri; la Frezzolini; marqués de Montehermoso; señora Coronel; señora Fodor; señora Montenegro; señorita Dabe - deilhe
España,39.3260685,-4.8379791,pais,81,75,"Baste decir que tanto en la parte tipográfica , como en la literaria , procurare | Grande es el pensamiento, no tenemos reparo en confesarlo, que nos hemos propues | Nosotros nos constituimos segun la escasa publicidad que nuestro periódico alcan | y esto es fatal para la empresa, malísimo para el público y peor para el Arte, q | Nosotros vamos á cumplir nuestra mision, nosotros vamos hablar con el len- --gua","Alejandro Boucher; Angel Ruso; Avelardo; Barba; Campano de Navarra; Carlos IV; Carnicer; Castell; Conde de Toreno; Cornelio Balbo; D. Alonso VII; D. Gregorio Romero; D. Juan Francisco Masdeu; Duque de Zaragoza; ESPAÑA; Eduardo Ficher; Emilio Prudent; Españoleto; Estrabon; Fr, P; Francisco Xavier García; Garcia - Viardot; García; García - Viardot; Gerardo de Cremona; Guido Aretino; Joaquin Espin; Larrañaga; Lázaro; Mercadante; Metello; Miguel de Cervantes; Paganini; Paulina Cabrero; Pedro de Vreña; Pitágoras; Platon; Rossini; Rubini; Salas; Soriano; Spagnuolo; Thalverg; Tiberio; Vicente Martin; Villó; san Gregorio el Magno"
Italia,42.6384261,12.674297,pais,76,75,"El ha dejado un número considerable de música vocal, entre las que se cuentan ve | JUAN BAUTISTA RUBINI, nació en una humilde aldea situada á cuatro leguas de Berg | Largos años hacia que el mas esclarecido de los maestros de Italia parecia halla | Durante su corta permanencia en esta ciudad ha recibido del señor presidente del | Esta ópera obtiene un éxito brillante en todos los teatros de Italia, y es una b","Anconi; Antonio Poggi; Badiali; Benedetti; Brambilla; Carlos; Cesar Federico I de Suavia; Cherubini; Cimarosa; Colmenares; D. Ramon Carnicer; David; David,; Decio; Doncelli; Donizetti; Donizzeti; Donzelli; Erminia; Erminia Poggi - Frezzolini; Erminia Poggi-Frezzolini; Españoleto; Eugenia D ' Alberti; Francisco Xavier García; Frezzolini; García; Giovann; Giovann Pelegrini; Guasco; Guglietti; Guglietti,; Guido Aretino; Guido de Arezo; Guillermo Mascardi; Isabel Colbran; La Frezzolini; Lablache; Licinio; Malibran; Manuel García; Manzachi; Marietta Albini; Martin; María Malibran García; Mazaniello; Mercadante; Metternich; Meyerbeer; Moltini; Moriani; Mozart; Mr. Turcas; Murat; Nancini; Nozzari; Paccini; Panzini; Poggi; Publio; Ramon Berenguer IV; Rey de Prusia; Ronconi; Rossini; Rubini; Salieri; Salvador Cherubini; Sofia Loëve; Sra. Maric - Lalande; Tachinardi; Tadolini; Tamburini; V. S.; Weber; archi; príncipe; san Gregorio"
Gran Teatro del Liceo (Barcelona),41.3796,2.1726,sala,57,49,"Nada mas natural al principiar nuestras tareas filarmónicas, que dar cuenta á nu | pero pruebas hay bastantes que hacen justicia al mismo público y en nuestras col | Anuncióse la venida de RUBINI, los ensayos de la Lucia, el dia fijo que el públi | Miral, empieza su carrera, con felices auspicios y un éxito brillante; su hermos | Los conciertos ejecutados en la tercera y cuarta funcion de Rubini, han venido á","Antonio Daroca; Barroso; Castell; D. José Miró; D. José Valero; D. Mariano García; D. Pancracio; D. Victorino Agustí; Faliero; Felipe II; G. R. Larragaña; G. Romero; Garcia; Garcia - Viardot; Garcia Viardot; García - Viardot; García Viardot; Gerli; Gobernador de la Real Fortal; Herold; Iriarte; Isabel Colbran; J. Miró; Joaquin Espin; Junta gubernativa del Liceo; Ledesma; Linares; Lopez; Madrazo; Malibran García; Manuel Garcia; Manuel García; Marini; Martin; María; María García; PAULINA GARCIA; Paulina; Paulina - GarciaViardot; Paulina Garcia - Viardot; Paulina Garcia-Viardot; Paulina García; Paulina García Viardot; Paulina García de Viardot; Porcell; Porcell,; Presidente; Príncipe de los tenores; Regini; Rossini; RuBINI; Rubini; Saldoni; Scott; Señor Mirall; Señorita A; Soriano; Tomas; Valero; Velaz; Viardot; doña Nieves Gonzalez; doña Plácida Tablares; duque de Osuna"
Teatro de la Cruz (Madrid),40.4155,-3.7017,sala,35,34,"*.* Entre las novedades que nos ha presentado el teatro de la Cruz en las pasada | Eslaba puede haber quedado satisfecho de las pruebas inequívocas de entusiasmo q | La noche del 3 del corriente se ejecutó en el teatro de la Cruz esta ópera, (que | (1) En apoyo de nuestro aserto, llamamos particularmente la atencion de nuestros | * * * Sabemos que en el teatro de la Cruz se vá á poner en escena muy en breve e",Aguirre; Aparicio; Baron de Maldad; Beethoven; Bellini; Beneficiado; Borio; Carnicer; Cámara; D. José Zorrilla; Donizetti; Donizzetti; Elizaisin; G. Romero L.; GIACOMO MEYERBEER.—OPERA; Gaetano Rossi; Giacomo Meyerbeer; Gomez; Guillen; Guillermo Tell; Inten; Joaquin Espin; LUCRECIA BORGIA; Liszt; M. S. F; M. Soriano Fuertes; Manuel Ducassi; Mariano Soriano Fuertes; Mateo; Mirall; Mozart; Mr. Baufflers; Nicolái; Paccini; Perelli; Reguer; Ricci; Salas; Serra; Sra. Villó; Unanue; Valli; Velarde; Vicente Martin; Villó; Villó Ramos; don Celedonio; doña Cristina Villó; doña Toribia; ñora Basso
Instituto Español (Madrid),40.4168,-3.7035,sala,35,34,"Llamamos la atencion del público con la ocurrencia acaecida en el Instituto Espa | Este modo de proceder poco caballeroso, nos ha irritado sobremanera; y por esta  | Instituto Español. | Esto supuesto, llevaremos la verdad en los labios; la tranquilidad en el corazon | Esta escuela tan útil para un cantante la planteó el primero el Instituto españo",Atalevy; Auber; Barba; Beethoven; Carrion; Cherubini; Chimeno; Cotot; Courdet; Cristina Ramos; Cristina Ramos Villó; D. Miguel Lasala; Donizzetti; G. R. L.; G. R. Larragaña; G. Romero; Gamarra; Garcia; Gregorio Romero; Halevy; Ingres; Isabel Colbran; Joaquin Espin; Larrañaga; Lasala; M. S. F; M. Soriano Fuertes; Miguel Agustin Principe; Mr. Lafont; Paulina Garcia; Paulina Garcia - Viardot; Paulina Garcia-Viardot; Paulina Garcia-Viardot.-Crítica; Paulina García; Paulina García Viardot; Raoul; Raoul - Rochette; Señor Cáceres; Señor D. Ramon Cáceres; Señorita Azcona; Vicente Martin; Zimmemar
Europa,50.0,15.0,region,35,32,"Esta artista española nos ha confirmado, (y tambien á los estrangeros), en las e | La princesa segun dicen es admirable como actriz y como cantante y uno de los pr | La España segun el historiador D. Juan Francisco Masdeu, fué el último pais de l | *.* Se halla en esta capital el distinguido profesor de violin D. Pedro Escudero | Rubini como hombre tiene el corazon mas compasivo y noble que se conoce; toda la","Antonio Poggi; Cherubini; Colbranes, Correas; Corradi - Pantanelli; Corradi-Pantanelli; Corre; D. Juan Francisco Masdeu; D. Pedro Escudero; Donizetti; Donzelli; Duque de Zaragoza; Estrabon; Eximenos, Morales; Fr, P; Galli; Garcia; García; Josefina Strepponi; La Frezzolini; Labarre; Ledesma; Magnan; Malibran Garcia; Manuel García; Maria Malibran - de - Beriot; Marietta Brambilla; María García; Morales; Mozart; Paulina Garcia; Paulina Garcia-Viardot; Paulina García - Viardot; Paulina García de Viardot; Paulina García-Viardot; Pedro de Vreña; Rafael; Rafael,; Roberto; Ronconi; Rossini; Rubini; Teresina Rossi; Tiberio; Unanue ;; san Gregorio el Magno"
Viena,48.2083537,16.3725042,ciudad,30,30,"Por fin hemos tenido el gusto de que vuelva ha abrirse nuestro teatro, despues d | Ya se sabe cuan poco efecto produjeron en Viena las primeras representaciones de | La señora condesa de Rossi (Enriqueta Sontang) que hace algun tiempo dejó la vid | Martin fue llamado á la corte de Wiena en 1785; donde se representó su Burbero d | En 1803 escribió Becthoven en Heisingtand ciudad á legua y media de Viena, su te",Beatrice di Tenda; Becthoven; Besta; Bonaparte; Capellini; Carlos - Maria Weber; Carolina; Donizetti; Elena da Feltre; Enrique; Enriqueta Sontang; Forti; Halevy; Hummel; Ines de Castro; Isabel Colbran; Italia; Joaquin Rossini; Joseph II; Kalech; Knecht; Kulbech; L ' Elixir d ' Amore; La Straniera; M. Gansbacher; Marco Visconti; Martin; Meyerbeer; Moriani; Moscheles; Mozart; Poggi; Ralek; Ritter; Salieri; Scombrum; Tadolini; Thalberg; Vogler; Winter; Zoroam; condesa de Rossi
Teatro del Circo (Madrid),40.4085,-3.6965,sala,28,28,"En el Circo parece que se esmeran en sobrepujar con mucho á los demas; entre cie | *.* Está decidido que tendremos compañia de ópera este verano en el teatro del C | *.* Ha sido escriturado en Milan, para primer bajo ab-soluto de la compañía líri | *.* * En esta semana deben dar principio las representaciones de ópera en el tea | ∴ El teatro del Circo, no puede dar principio á las representaciones de la ópera",Basso Borio; Borio; Colmenares; Conti; D. Luis Arche; D. Ramon Carnicer; De Bernardi; Debesi; Donizzetti; Donna; Enrique Ficher; Giacomo Meyerbeer; Guillen; Guillermo Tell; Joaquin Espin; José Olivieri; Luis Arche; Luis de Bezzi; M. S. F; M. Soriano Fuertes; Margarita Basso - Borio; Mercadante; Oreyro de Vega; Paccini; Pedro Giani; Rafael Anconi; Ramon Carnicer; Ramos; Teresa Bovay; Villó; ñora Basso
